epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,20071.8,1.43154,0.84961,1.15236,0.79528,0.82101,0.83426,0.4754,1.53548,0.8937,1.21943,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,20569.8,1.42237,0.83544,1.1565,0.80758,0.82033,0.83673,0.47253,1.53831,0.88454,1.22248,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,21066.5,1.41824,0.83674,1.14773,0.81236,0.82174,0.83989,0.48079,1.51955,0.88363,1.21364,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,21565.1,1.41378,0.82973,1.14987,0.80208,0.82394,0.83842,0.48002,1.52613,0.87493,1.21475,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,22061.6,1.40461,0.81837,1.14434,0.80579,0.83066,0.8395,0.47792,1.5291,0.86757,1.21744,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,22560.7,1.41155,0.82348,1.146,0.81954,0.81972,0.83931,0.48028,1.52046,0.87187,1.21397,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,23055.3,1.40137,0.81331,1.13734,0.81822,0.82602,0.8452,0.48268,1.51755,0.86971,1.212,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,23552.4,1.39918,0.81112,1.14124,0.82322,0.81325,0.83985,0.48065,1.51708,0.85567,1.21313,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,24049.2,1.40227,0.80753,1.13468,0.81878,0.82881,0.84187,0.48072,1.51864,0.86259,1.21392,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,24545.6,1.3962,0.80862,1.13682,0.82001,0.81917,0.84313,0.48176,1.51836,0.86228,1.21152,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,25041.9,1.39157,0.80301,1.1339,0.82665,0.81806,0.84702,0.48569,1.51353,0.8591,1.21445,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,25540.8,1.37281,0.79431,1.12521,0.81684,0.82502,0.84412,0.48487,1.50707,0.85549,1.21204,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,26038.3,1.38374,0.79436,1.12994,0.82084,0.81613,0.84332,0.48735,1.50025,0.8481,1.20827,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,26537.7,1.3853,0.78714,1.12671,0.82139,0.81801,0.8466,0.49036,1.50215,0.8479,1.20757,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,27036.8,1.37358,0.78609,1.12404,0.816,0.81373,0.84296,0.49078,1.50297,0.84712,1.21035,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,27534.9,1.37018,0.78674,1.12643,0.81427,0.81711,0.84689,0.48777,1.50333,0.84762,1.20968,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,28031,1.36668,0.77517,1.12129,0.8218,0.82096,0.8445,0.48896,1.49829,0.84805,1.205,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,28527.8,1.37211,0.77788,1.12447,0.82091,0.82139,0.84219,0.48726,1.49967,0.84881,1.20863,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,29024.4,1.37219,0.77016,1.12421,0.82206,0.82867,0.84288,0.48739,1.50182,0.84556,1.20987,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,29520.9,1.35866,0.76617,1.11694,0.82022,0.8261,0.84565,0.48995,1.50103,0.84604,1.20992,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,30019.5,1.3611,0.77218,1.11763,0.80917,0.83217,0.8454,0.48908,1.49834,0.84471,1.2105,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,30516.9,1.36008,0.7613,1.116,0.82212,0.82695,0.8481,0.4894,1.49708,0.83674,1.20928,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,31013.7,1.35045,0.76706,1.11725,0.83007,0.82369,0.85029,0.4913,1.49454,0.83133,1.20915,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,31511.6,1.35459,0.76021,1.11349,0.83496,0.82302,0.85184,0.49293,1.49408,0.82927,1.20851,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,32009.4,1.35526,0.75795,1.11105,0.83188,0.82506,0.85217,0.49345,1.49502,0.82666,1.2098,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,32506.8,1.33718,0.74741,1.10868,0.83211,0.82487,0.85215,0.49617,1.4958,0.82498,1.21126,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,33004.2,1.34284,0.75197,1.10657,0.83054,0.82384,0.85178,0.4934,1.49573,0.82772,1.21116,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,33500.5,1.3353,0.74177,1.10385,0.82843,0.82527,0.85119,0.49266,1.49409,0.82586,1.21025,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,33999,1.33243,0.74469,1.10122,0.82178,0.82696,0.84923,0.49325,1.49403,0.82276,1.2099,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,34494.8,1.33788,0.7452,1.10099,0.82089,0.82984,0.84941,0.49333,1.49496,0.82475,1.21071,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,34991.5,1.33622,0.74312,1.10169,0.82369,0.83009,0.85081,0.49579,1.49409,0.82302,1.21053,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,35488.3,1.3365,0.74531,1.10743,0.82573,0.82946,0.85072,0.49417,1.49348,0.82225,1.21017,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,35984.5,1.32597,0.73733,1.1024,0.82504,0.8311,0.85144,0.49574,1.49311,0.81947,1.21087,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,36480.5,1.32348,0.73706,1.10115,0.82917,0.83127,0.85215,0.49537,1.49222,0.81736,1.21183,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,36976.3,1.32472,0.73284,1.09621,0.82737,0.832,0.8529,0.49538,1.49346,0.81566,1.21395,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,37472.3,1.31838,0.7288,1.10022,0.82153,0.8316,0.852,0.49665,1.49358,0.81551,1.21462,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,37970.1,1.31381,0.72524,1.09195,0.82117,0.83111,0.85216,0.49628,1.49196,0.81249,1.21425,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
